Company,Funding,Employee Growth,,
Sightline Payments,347200000,19,,
TravelPerk,408200000,68,,
ChargeAfter,17000000,130,,
OpenSea,427200000,296,,
RenoRun,163700000,176,,
Copper,102000000,31,,
Greenlight Financial Technology,556500000,70,,
Firefly,53500000,29,,
Lithic,115400000,129,,
Aleo,228000000,27,,
Retool,96000000,128,,
Airbase,90500000,124,,
Superpedestrian,261700000,28,,
Rocket Lab USA,709400000,24,,
Curebase,17600000,283,,
Coin Metrics,22900000,126,,
,,,,
Karbon,91800000,154,,
Census,80300000,297,,
TRADE X,169400000,154,,
Untether AI,152000000,121,,
Swit,12300000,39,,
Veriff,192300000,61,,
The Guild,378500000,29,,
Armis Security,537000000,50,,
SecurityScorecard,292200000,62,,
mParticle,272000000,35,,
Corcentric,80000000,3,,
Upgrade,587000000,68,,
Horizon3.ai,38500000,293,,
Lusha,245000000,79,,
Alma,90500000,135,,
Keyway,15000000,205,,
CoreStack,45700000,102,,
MotoRefi,69100000,98,,
Pipe,316000000,89,,
Forto,593400000,64,,
Spring Health,295500000,178,,
EquityBee,85300000,112,,
Mercury - Banking for Startups,152200000,132,,
Allbirds,202500000,27,,
NowRx,60600000,30,,
Matillion,310300000,95,,
Baldwin Risk Partners,24200000,95,,
Ada,190600000,80,,
The Riverside Company,12000000,6,,
Persona Identities,217500000,141,,
DNAnexus,472600000,9,,
YipitData,492000000,90,,
InVideo,52500000,19,,
1K Kirana Bazaar,7000000,521,,
brightwheel,88800000,58,,
FLYR,187300000,137,,
Spruce,14600000,60,,
Till Payments,95600000,295,,
At-Bay,292000000,86,,
Columbia Care,408000000,8,,
strongDM,76100000,184,,
Infinitum Electric,57700000,64,,
Workit Health,138000000,127,,
Skyryse,240500000,133,,
Mesh Payments,63000000,278,,
UrbanStems,47200000,21,,
Socure,646900000,85,,
VergeSense,82600000,94,,
Volta Trucks,329900000,468,,
Vectra AI,352500000,27,,
Mediafly,59700000,47,,
Weka.IO,158900000,57,,
Bilt Rewards,63300000,73,,
Optimism,178500000,138,,
Pair Eyewear,73500000,103,,
Hungryroot,75400000,103,,
uLab Systems,83400000,46,,
Bloomreach,422000000,43,,
DataStax,227600000,28,,
Gatik,121600000,58,,
Lattice,160500000,122,,
Hungryroot,75400000,102,,
Finxact,42000000,20,,
Apex.AI,72000000,100,,
Brave Care,42900000,57,,
Pear Therapeutics,409000000,29,,
Trust and Will,14600000,98,,
Bikayi.com,12800000,462,,
UnitedMasters,170000000,47,,
Rapyd,770000000,63,,
Monogram Health,172000000,98,,
Industrious,422000000,33,,
Li-Cycle,667700000,118,,
AutoFi,114500000,37,,
Lancium,150000000,296,,
Spekit,60600000,175,,
Logixboard,50800000,181,,
Chooch AI,25800000,94,,
Assent Compliance,533600000,40,,
K Health,271300000,23,,
AppOmni,53000000,94,,
Orum,29000000,265,,
Transit,26600000,7,,
AvantStay,686000000,113,,
Center for Breakthrough Medicines,350000000,378,,
VideoAmp,456600000,127,,
STAG Industrial,200000000,6,,
Razor Group,959800000,241,,
Locus Robotics,299000000,62,,
Place Technology,10000000,5,,
Games24x7,75000000,29,,
Justt,50000000,419,,
LogicGate,156000000,24,,
Torii,65000000,176,,
Iodine Software,2500000,32,,
Yokoy,27800000,418,,
GWI,219900000,51,,
Socotra,43900000,57,,
Locus.sh,78800000,16,,
Afresh,32800000,166,,
Professional Fighters League,173000000,1,,
IRL - Do More Together,197000000,126,,
Truebill,83900000,62,,
Virtual Gurus,2600000,173,,
Tiff's Treats Cookie Delivery,97200000,6,,
,,,,
908 Devices,66800000,28,,
Varo Bank,992400000,34,,
SIMBA Chain,28500000,142,,
BurnAlong,16000000,29,,
Pie Insurance,306000000,32,,
Domino Data Lab,223600000,42,,
Lilac Solutions,173600000,113,,
HUNGRY Marketplace,30600000,56,,
Coralogix,96200000,84,,
Sila Nanotechnologies,880500000,41,,
Genvid Technologies,166000000,83,,
Drip Capital,375100000,59,,
,,,,
Ampla,290000000,254,,
Cohere,56100000,197,,
Metafy,51600000,197,,
Jackpocket,249600000,25,,
OpenWeb,223000000,9,,
Gem,12500000,123,,
Reltio,237000000,42,,
Popmenu,87100000,66,,
Impartner Software,110000000,34,,
Altiostar Networks,357500000,42,,
Pivot Bio,616900000,70,,
Kaia Health,123000000,67,,
CompanyCam,38000000,79,,
Amylyx Pharmaceuticals,202200000,322,,
Emergy Foods,128400000,279,,
Embark Veterinary,94300000,75,,
Securitize,100200000,49,,
Biocept,43200000,7,,
PocketPills,39400000,34,,
DISCO,233600000,51,,
Pcysys - Automated Pentesting,189500000,71,,
Vivun,56000000,68,,
ReliaQuest,330000000,55,,
LambdaTest,25000000,88,,
Medable,506600000,78,,
Observe.AI,89000000,20,,
Clever Real Estate,13200000,96,,
Fuzzy - The Pet Parent Company,80500000,131,,
Prime Trust,69000000,101,,
Starship Technologies,197700000,62,,
ConcertAI,300000000,20,,
Papaya Global,444500000,119,,
Yellowbrick Data,248000000,13,,
Cricket Health,111100000,44,,
Caribou,189100000,57,,
Reibus International,101700000,185,,
Nasuni,187000000,17,,
Liqid,149200000,13,,
New Mountain Capital,54500000,13,,
Matador,3200000,70,,
Upland Software,721400000,3,,
Stenn,400000000,11,,
Finexio,48500000,69,,
Cockroach Labs,633100000,56,,
ShipMonk,365000000,42,,
CredAvenue,226700000,38,,
AEye,314100000,50,,
AltoIRA,70300000,63,,
Flock Freight,399000000,97,,
We Are Rosie,11900000,65,,
Headout,57700000,91,,
Tezign,151100000,150,,
Slintel,26000000,61,,
General Fusion,322100000,36,,
Solid Power,381500000,92,,
Mixpanel,277000000,38,,
Walabot Official Site,296000000,48,,
Built Technologies,289100000,80,,
Thentia,27500000,63,,
WorkRamp,27200000,148,,
Sysdig,729500000,93,,
Polarium,124000000,47,,
FingerprintJS,44000000,147,,
Remarkable.com,24000000,46,,
reMarkable,24000000,46,,
Jushi Holdings,317400000,35,,
